modelo,tipo_ruido,parametro,nivel,imagen,detecciones_base,detecciones,confianza_promedio,confianza_maxima,iou_promedio,retencion_pct
YOLO26-Nano,Gaussiano,sigma,0,bus.jpg,5,5,0.8203,0.9242,1.0,100.0
YOLO26-Nano,Gaussiano,sigma,5,bus.jpg,5,5,0.7947,0.9295,0.9513,100.0
YOLO26-Nano,Gaussiano,sigma,10,bus.jpg,5,5,0.8023,0.9263,0.9279,100.0
YOLO26-Nano,Gaussiano,sigma,20,bus.jpg,5,5,0.7487,0.9055,0.9261,100.0
YOLO26-Nano,Gaussiano,sigma,30,bus.jpg,5,5,0.7257,0.9018,0.9029,100.0
YOLO26-Nano,Gaussiano,sigma,50,bus.jpg,5,5,0.6203,0.8567,0.8919,100.0
YOLO26-Nano,Gaussiano,sigma,70,bus.jpg,5,4,0.6097,0.8509,0.9295,80.0
YOLO26-Nano,Gaussiano,sigma,100,bus.jpg,5,3,0.4188,0.5818,0.6035,60.0
YOLO26-Nano,Gaussiano,sigma,0,zidane.jpg,3,3,0.7575,0.9426,1.0,100.0
YOLO26-Nano,Gaussiano,sigma,5,zidane.jpg,3,3,0.7405,0.9431,0.9907,100.0
YOLO26-Nano,Gaussiano,sigma,10,zidane.jpg,3,3,0.736,0.9407,0.9585,100.0
YOLO26-Nano,Gaussiano,sigma,20,zidane.jpg,3,3,0.7667,0.936,0.9619,100.0
YOLO26-Nano,Gaussiano,sigma,30,zidane.jpg,3,3,0.7044,0.9322,0.9443,100.0
YOLO26-Nano,Gaussiano,sigma,50,zidane.jpg,3,3,0.6863,0.9066,0.6371,100.0
YOLO26-Nano,Gaussiano,sigma,70,zidane.jpg,3,2,0.8512,0.8753,0.9537,66.67
YOLO26-Nano,Gaussiano,sigma,100,zidane.jpg,3,3,0.4595,0.605,0.6851,100.0
YOLO26-Nano,Motion Blur,kernel,1,bus.jpg,5,5,0.8203,0.9242,1.0,100.0
YOLO26-Nano,Motion Blur,kernel,3,bus.jpg,5,5,0.8166,0.9219,0.9803,100.0
YOLO26-Nano,Motion Blur,kernel,5,bus.jpg,5,5,0.8007,0.9186,0.9569,100.0
YOLO26-Nano,Motion Blur,kernel,9,bus.jpg,5,5,0.7298,0.9109,0.9251,100.0
YOLO26-Nano,Motion Blur,kernel,15,bus.jpg,5,4,0.7509,0.9013,0.9202,80.0
YOLO26-Nano,Motion Blur,kernel,21,bus.jpg,5,6,0.5363,0.8779,0.9084,120.0
YOLO26-Nano,Motion Blur,kernel,31,bus.jpg,5,4,0.6832,0.8114,0.8143,80.0
YOLO26-Nano,Motion Blur,kernel,45,bus.jpg,5,4,0.4788,0.731,0.7774,80.0
YOLO26-Nano,Motion Blur,kernel,1,zidane.jpg,3,3,0.7575,0.9426,1.0,100.0
YOLO26-Nano,Motion Blur,kernel,3,zidane.jpg,3,3,0.7438,0.942,0.9967,100.0
YOLO26-Nano,Motion Blur,kernel,5,zidane.jpg,3,3,0.7123,0.9415,0.9926,100.0
YOLO26-Nano,Motion Blur,kernel,9,zidane.jpg,3,2,0.9219,0.9432,0.9913,66.67
YOLO26-Nano,Motion Blur,kernel,15,zidane.jpg,3,2,0.923,0.9399,0.9758,66.67
YOLO26-Nano,Motion Blur,kernel,21,zidane.jpg,3,2,0.907,0.9135,0.9716,66.67
YOLO26-Nano,Motion Blur,kernel,31,zidane.jpg,3,2,0.8857,0.8953,0.9533,66.67
YOLO26-Nano,Motion Blur,kernel,45,zidane.jpg,3,2,0.7583,0.7936,0.926,66.67
YOLO26-Nano,Sal y Pimienta,probabilidad,0.0,bus.jpg,5,5,0.8203,0.9242,1.0,100.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.01,bus.jpg,5,5,0.7967,0.8986,0.9754,100.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.03,bus.jpg,5,5,0.6555,0.9026,0.9667,100.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.05,bus.jpg,5,5,0.5919,0.8829,0.9482,100.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.1,bus.jpg,5,4,0.6288,0.8485,0.4987,80.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.15,bus.jpg,5,3,0.6597,0.8255,0.3708,60.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.25,bus.jpg,5,2,0.5573,0.6597,0.0851,40.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.4,bus.jpg,5,1,0.2644,0.2644,0.0954,20.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.0,zidane.jpg,3,3,0.7575,0.9426,1.0,100.0
YOLO26-Nano,Sal y Pimienta,probabilidad,0.01,zidane.jpg,3,2,0.9338,0.9382,0.9816,66.67
